,IP,HOST
0,172.217.17.238,google.com
1,172.217.17.105,blogger.com
2,172.217.169.142,youtube.com
3,17.253.144.10,apple.com
4,142.250.184.142,play.google.com
5,13.107.42.14,linkedin.com
6,216.58.214.142,support.google.com
7,40.76.4.15,microsoft.com
8,91.198.174.192,en.wikipedia.org
9,142.250.187.110,youtu.be
10,104.16.132.229,cloudflare.com
11,198.143.164.252,wordpress.org
12,172.217.17.142,maps.google.com
13,172.217.17.142,docs.google.com
14,44.236.72.93,mozilla.org
15,157.240.238.60,whatsapp.com
16,172.217.169.205,accounts.google.com
17,23.215.190.208,adobe.com
18,147.67.210.45,europa.eu
19,173.194.205.138,drive.google.com
20,172.217.169.142,plus.google.com
21,172.217.169.142,sites.google.com
22,176.32.103.205,amazon.com
23,18.66.180.13,istockphoto.com
24,91.198.174.192,es.wikipedia.org
25,140.82.121.3,github.com
26,157.240.238.35,facebook.com
27,87.240.137.158,vk.com
28,149.154.167.99,t.me
29,200.147.3.157,uol.com.br
30,151.101.192.217,vimeo.com
31,162.125.248.18,dropbox.com
32,172.217.17.110,search.google.com
33,185.58.74.239,enable-javascript.com
34,203.104.138.138,line.me
35,216.58.214.142,feedburner.com
36,208.84.244.116,terra.com.br
37,142.250.184.131,google.de
38,91.198.174.192,wikimedia.org
39,151.101.128.81,bbc.com
40,104.17.113.188,who.int
41,151.101.1.164,nytimes.com
42,172.217.169.99,gstatic.com
43,151.101.129.67,cnn.com
44,151.101.130.49,forbes.com
45,172.217.169.142,tools.google.com
46,162.159.152.4,medium.com
47,64.4.250.37,paypal.com
48,172.217.169.99,google.co.jp
49,204.79.197.212,live.com
50,142.250.187.110,developers.google.com
51,54.235.145.223,nih.gov
52,208.74.123.84,cpanel.net
53,151.101.0.81,bbc.co.uk
54,186.192.90.12,globo.com
55,151.101.129.111,theguardian.com
56,104.20.151.16,creativecommons.org
57,172.217.17.99,google.com.br
58,52.2.61.110,reuters.com
59,91.198.174.192,fr.wikipedia.org
60,172.217.17.238,policies.google.com
61,63.135.90.70,myspace.com
62,151.101.194.217,jimdofree.com
63,40.85.112.191,youronlinechoices.com
64,192.0.72.3,files.wordpress.com
65,216.58.214.142,news.google.com
66,195.8.215.136,dailymotion.com
67,216.58.214.131,google.es
68,216.58.214.133,mail.google.com
69,91.198.174.192,pt.wikipedia.org
70,104.22.6.216,brandbucket.com
71,128.30.52.100,w3.org
72,52.207.21.97,slideshare.net
73,52.94.228.167,imdb.com
74,74.115.50.110,weebly.com
75,74.6.231.20,yahoo.com
76,18.66.180.11,huffingtonpost.com
77,67.199.248.10,bit.ly
78,34.200.76.190,issuu.com
79,149.154.167.99,telegram.me
80,195.128.8.101,nature.com
81,104.16.202.237,mediafire.com
82,151.101.0.84,pinterest.com
83,54.198.170.253,ig.com.br
84,13.32.99.81,telegraph.co.uk
85,75.2.58.105,shutterstock.com
86,104.26.6.37,hugedomains.com
87,157.240.238.35,fb.com
88,151.101.193.171,businessinsider.com
89,35.73.209.248,hatena.ne.jp
90,217.69.139.200,mail.ru
91,54.239.33.90,amazon.es
92,208.74.121.151,cpanel.com
93,192.0.66.2,thesun.co.uk
94,34.90.202.26,elmundo.es
95,142.250.187.163,google.co.uk
96,195.175.254.2,4shared.com
97,151.101.1.184,independent.co.uk
98,23.35.230.35,dailymail.co.uk
99,69.187.24.15,bloomberg.com
100,2.19.193.19,elpais.com
101,104.17.89.51,change.org
102,13.32.121.116,wsj.com
103,142.250.187.110,translate.google.com
104,91.198.174.192,id.wikipedia.org
105,54.239.33.58,amazon.co.uk
106,34.196.195.206,networkadvertising.org
107,142.250.187.110,ipv4.google.com
108,172.217.20.67,google.fr
109,5.61.23.11,ok.ru
110,104.18.21.183,pixabay.com
111,104.244.42.193,twitter.com
112,192.0.80.241,gravatar.com
113,142.250.187.100,android.com
114,52.119.164.121,amazon.co.jp
115,199.36.158.100,forms.gle
116,104.244.42.133,t.co
117,5.57.16.220,booking.com
118,207.241.224.2,archive.org
119,142.250.187.110,books.google.com
120,88.221.196.194,estadao.com.br
121,54.239.33.91,amazon.fr
122,65.9.63.84,time.com
123,151.101.114.62,usatoday.com
124,198.246.102.49,cdc.gov
125,13.107.6.156,office.com
126,23.213.165.73,foxnews.com
127,151.101.130.152,scribd.com
128,91.198.174.192,ja.wikipedia.org
129,185.26.182.103,opera.com
130,172.217.17.110,myaccount.google.com
131,192.0.66.160,abril.com.br
132,142.250.187.142,goo.gl
133,13.32.99.66,express.co.uk
134,13.82.28.61,msn.com
135,172.217.169.195,google.pl
136,151.101.130.194,wired.com
137,34.149.196.126,cnet.com
138,157.150.185.49,un.org
139,172.217.169.195,google.ru
140,13.32.99.51,aboutads.info
141,198.54.117.250,namecheap.com
142,23.22.39.120,nasa.gov
143,161.148.164.31,gov.br
144,104.17.33.105,researchgate.net
145,207.148.248.132,buydomains.com
146,91.198.174.192,de.wikipedia.org
147,172.217.17.142,marketingplatform.google.com
148,193.189.143.34,netvibes.com
149,172.67.1.225,tinyurl.com
150,18.66.180.34,huffpost.com
151,151.101.64.194,wikia.com
152,133.237.16.234,rakuten.co.jp
153,142.250.187.163,google.it
154,176.32.108.185,amazon.de
155,151.101.0.194,fandom.com
156,142.250.187.105,draft.blogger.com
157,142.250.187.110,get.google.com
158,18.219.194.42,plesk.com
159,87.248.100.208,news.yahoo.com
160,192.0.78.24,wp.com
161,157.240.238.60,wa.me
162,91.198.174.192,ru.wikipedia.org
163,52.210.14.234,mirror.co.uk
164,3.70.113.20,dan.com
165,23.37.45.67,washingtonpost.com
166,205.201.132.96,list-manage.com
167,172.217.169.174,picasaweb.google.com
168,216.69.141.26,afternic.com
169,151.101.0.144,gov.uk
170,47.254.177.101,aliexpress.com
171,172.217.17.142,photos.google.com
172,13.248.148.206,nikkei.com
173,151.101.130.166,gizmodo.com
174,195.128.8.101,springer.com
175,18.66.180.98,surveymonkey.com
176,13.32.121.123,smh.com.au
177,36.51.254.229,weibo.com
178,192.0.66.136,hollywoodreporter.com
179,3.125.197.172,nginx.com
180,133.208.59.141,biglobe.ne.jp
181,151.101.2.137,lemonde.fr
182,204.74.99.103,cambridge.org
183,142.250.184.131,google.ca
184,169.62.154.242,dreamstime.com
185,44.193.104.247,ted.com
186,104.18.10.81,economist.com
187,75.2.83.248,prezi.com
188,198.27.92.1,ovh.com
189,208.94.3.18,imageshack.us
190,18.66.122.45,abcnews.go.com
191,13.248.154.180,offset.com
192,2.21.239.152,ea.com
193,213.186.33.6,ovh.net
194,145.243.240.20,bild.de
195,216.58.214.131,google.com.tw
196,104.117.218.67,ikea.com
197,123.151.137.18,qq.com
198,203.2.218.214,abc.net.au
199,151.101.65.135,ign.com
200,91.198.174.192,it.wikipedia.org
201,161.170.230.170,walmart.com
202,106.10.248.150,aol.com
203,104.26.9.237,doi.org
204,209.202.254.90,lycos.com
205,192.0.66.32,nypost.com
